기준년월,행정동코드,행정동명,총생활인구수
2021-07,11230536,용신동,28241847.6964
2021-07,11230545,제기동,23718674.9422
2021-07,11230560,전농1동,23727628.1721
2021-07,11230570,전농2동,12459639.0431
2021-07,11230600,답십리1동,17031096.5419
2021-07,11230610,답십리2동,17110737.5476
2021-07,11230650,장안1동,25971768.642
2021-07,11230660,장안2동,21047427.5659
2021-07,11230705,청량리동,13539109.1685
2021-07,11230710,회기동,13630766.8314
2021-07,11230720,휘경1동,11881560.6526
2021-07,11230730,휘경2동,14376869.3485
2021-07,11230740,이문1동,16333598.0605
2021-07,11230750,이문2동,11704950.8707
2021-08,11230536,용신동,26800768.542
2021-08,11230545,제기동,24667063.754
2021-08,11230560,전농1동,23565245.3158
2021-08,11230570,전농2동,12348859.7558
2021-08,11230600,답십리1동,16956567.1405
2021-08,11230610,답십리2동,17013228.3399
2021-08,11230650,장안1동,25090490.9031
2021-08,11230660,장안2동,20811688.0561
2021-08,11230705,청량리동,13628944.2313
2021-08,11230710,회기동,13417845.6205
2021-08,11230720,휘경1동,12308871.3424
2021-08,11230730,휘경2동,14508785.2008
2021-08,11230740,이문1동,16359885.9256
2021-08,11230750,이문2동,11691031.6247
2021-09,11230536,용신동,26091346.038
2021-09,11230545,제기동,24463474.0838
2021-09,11230560,전농1동,23050436.4941
2021-09,11230570,전농2동,12234645.7578
2021-09,11230600,답십리1동,16380343.5282
2021-09,11230610,답십리2동,16323199.1056
2021-09,11230650,장안1동,24110961.9815
2021-09,11230660,장안2동,20290785.8173
2021-09,11230705,청량리동,13235063.9382
2021-09,11230710,회기동,13401758.6183
2021-09,11230720,휘경1동,11935348.6814
2021-09,11230730,휘경2동,14318460.0124
2021-09,11230740,이문1동,16499909.6281
2021-09,11230750,이문2동,11354911.0225
2021-10,11230536,용신동,27319664.2905
2021-10,11230545,제기동,25320686.6267
2021-10,11230560,전농1동,24236512.2648
2021-10,11230570,전농2동,12731389.4339
2021-10,11230600,답십리1동,16765236.1815
2021-10,11230610,답십리2동,16680924.6365
2021-10,11230650,장안1동,25064048.2518
2021-10,11230660,장안2동,21010451.8673
2021-10,11230705,청량리동,13689044.3316
2021-10,11230710,회기동,14205592.4383
2021-10,11230720,휘경1동,12669631.2878
2021-10,11230730,휘경2동,15007907.0472
2021-10,11230740,이문1동,17895775.4221
2021-10,11230750,이문2동,11668055.4744
2021-11,11230536,용신동,26618580.2518
2021-11,11230545,제기동,24549521.9074
2021-11,11230560,전농1동,23539406.2873
2021-11,11230570,전농2동,12369714.1278
2021-11,11230600,답십리1동,16215649.8676
2021-11,11230610,답십리2동,16072497.8276
2021-11,11230650,장안1동,24796528.2135
2021-11,11230660,장안2동,20056898.9876
2021-11,11230705,청량리동,13313812.7467
2021-11,11230710,회기동,14230040.0604
2021-11,11230720,휘경1동,12337445.5078
2021-11,11230730,휘경2동,14642395.6199
2021-11,11230740,이문1동,18152615.1343
2021-11,11230750,이문2동,11059520.0969
2021-12,11230536,용신동,27205211.644
2021-12,11230545,제기동,24815338.741
2021-12,11230560,전농1동,24223010.3953
2021-12,11230570,전농2동,12619797.21
2021-12,11230600,답십리1동,17565743.1845
2021-12,11230610,답십리2동,16822194.1089
2021-12,11230650,장안1동,25809427.1977
2021-12,11230660,장안2동,20735370.145
2021-12,11230705,청량리동,13887739.6902
2021-12,11230710,회기동,14466090.504
2021-12,11230720,휘경1동,12523882.4186
2021-12,11230730,휘경2동,15405632.6322
2021-12,11230740,이문1동,17982048.7511
2021-12,11230750,이문2동,11466200.2169
2022-01,11230536,용신동,28616484.57
2022-01,11230545,제기동,24427788.9925
2022-01,11230560,전농1동,23720396.2769
2022-01,11230570,전농2동,12095007.6749
2022-01,11230600,답십리1동,17658921.7797
2022-01,11230610,답십리2동,17056973.2937
2022-01,11230650,장안1동,25660756.5966
2022-01,11230660,장안2동,20795620.2834
2022-01,11230705,청량리동,13863649.6641
2022-01,11230710,회기동,13297599.3357
2022-01,11230720,휘경1동,12008619.1563
2022-01,11230730,휘경2동,14759330.5554
2022-01,11230740,이문1동,16225617.4468
2022-01,11230750,이문2동,11492337.7318
2022-02,11230536,용신동,26408550.4301
2022-02,11230545,제기동,21711673.9286
2022-02,11230560,전농1동,21363757.6888
2022-02,11230570,전농2동,11003595.2433
2022-02,11230600,답십리1동,16119184.494
2022-02,11230610,답십리2동,15489574.4452
2022-02,11230650,장안1동,23214987.3457
2022-02,11230660,장안2동,18903959.4201
2022-02,11230705,청량리동,12666755.3194
2022-02,11230710,회기동,12019412.275
2022-02,11230720,휘경1동,11061739.0454
2022-02,11230730,휘경2동,13543240.9809
2022-02,11230740,이문1동,14855158.8113
2022-02,11230750,이문2동,10479587.39
2022-03,11230536,용신동,30682128.9249
2022-03,11230545,제기동,24509903.152
2022-03,11230560,전농1동,23800920.8884
2022-03,11230570,전농2동,12720362.1875
2022-03,11230600,답십리1동,17950002.718200002
2022-03,11230610,답십리2동,16320842.2127
2022-03,11230650,장안1동,25724417.7725
2022-03,11230660,장안2동,21015439.8048
2022-03,11230705,청량리동,14210640.183
2022-03,11230710,회기동,14480538.2142
2022-03,11230720,휘경1동,12626804.7279
2022-03,11230730,휘경2동,15819413.413900001
2022-03,11230740,이문1동,18771659.4998
2022-03,11230750,이문2동,11510754.1891
2022-04,11230536,용신동,29920106.2437
2022-04,11230545,제기동,23233457.3835
2022-04,11230560,전농1동,22925587.4593
2022-04,11230570,전농2동,12249913.2281
2022-04,11230600,답십리1동,16609864.2785
2022-04,11230610,답십리2동,15431149.4973
2022-04,11230650,장안1동,24651746.8459
2022-04,11230660,장안2동,19570331.1097
2022-04,11230705,청량리동,13416049.1074
2022-04,11230710,회기동,15020422.428
2022-04,11230720,휘경1동,11976157.5652
2022-04,11230730,휘경2동,15175834.1761
2022-04,11230740,이문1동,18144387.9398
2022-04,11230750,이문2동,10805481.1996
2022-05,11230536,용신동,31874869.8792
2022-05,11230545,제기동,24687122.1705
2022-05,11230560,전농1동,23983772.4832
2022-05,11230570,전농2동,12877994.7946
2022-05,11230600,답십리1동,17221360.2831
2022-05,11230610,답십리2동,15913907.9055
2022-05,11230650,장안1동,25801275.7253
2022-05,11230660,장안2동,20201477.0324
2022-05,11230705,청량리동,14207177.445
2022-05,11230710,회기동,15697217.5958
2022-05,11230720,휘경1동,12613936.8766
2022-05,11230730,휘경2동,15662512.4894
2022-05,11230740,이문1동,19119775.3628
2022-05,11230750,이문2동,11279990.2366
2022-06,11230536,용신동,30829806.5972
2022-06,11230545,제기동,24419874.8173
2022-06,11230560,전농1동,23303488.2098
2022-06,11230570,전농2동,12429774.2803
2022-06,11230600,답십리1동,16962790.7073
2022-06,11230610,답십리2동,15599346.9928
2022-06,11230650,장안1동,25355193.7978
2022-06,11230660,장안2동,20028401.77
2022-06,11230705,청량리동,13756365.0298
2022-06,11230710,회기동,15482120.628
2022-06,11230720,휘경1동,12433087.8867
2022-06,11230730,휘경2동,15353743.7855
2022-06,11230740,이문1동,18612343.9991
2022-06,11230750,이문2동,10988436.0035
2022-07,11230536,용신동,30490207.1685
2022-07,11230545,제기동,24442659.7203
2022-07,11230560,전농1동,22064903.139
2022-07,11230570,전농2동,11917578.5455
2022-07,11230600,답십리1동,17393245.8416
2022-07,11230610,답십리2동,16284217.1364
2022-07,11230650,장안1동,25750423.2761
2022-07,11230660,장안2동,20293920.9577
2022-07,11230705,청량리동,13648075.9663
2022-07,11230710,회기동,14741730.3156
2022-07,11230720,휘경1동,12329200.6184
2022-07,11230730,휘경2동,14847458.9518
2022-07,11230740,이문1동,16960228.1713
2022-07,11230750,이문2동,10989933.2405
2022-08,11230536,용신동,28607729.3928
2022-08,11230545,제기동,24016179.8986
2022-08,11230560,전농1동,20870993.8362
2022-08,11230570,전농2동,11829480.3644
2022-08,11230600,답십리1동,17158412.7274
2022-08,11230610,답십리2동,16668535.9972
2022-08,11230650,장안1동,25243492.7914
2022-08,11230660,장안2동,19897565.2587
2022-08,11230705,청량리동,14213114.4519
2022-08,11230710,회기동,14511898.2321
2022-08,11230720,휘경1동,12891770.7227
2022-08,11230730,휘경2동,14588162.8814
2022-08,11230740,이문1동,16650183.1801
2022-08,11230750,이문2동,10524800.8893
2022-09,11230536,용신동,27987326.1877
2022-09,11230545,제기동,23815361.4379
2022-09,11230560,전농1동,20509259.9401
2022-09,11230570,전농2동,12130289.3245
2022-09,11230600,답십리1동,16595634.7957
2022-09,11230610,답십리2동,15996195.5017
2022-09,11230650,장안1동,24405901.3873
2022-09,11230660,장안2동,19461912.5688
2022-09,11230705,청량리동,14547892.8719
2022-09,11230710,회기동,15632255.2693
2022-09,11230720,휘경1동,12714520.6858
2022-09,11230730,휘경2동,14108731.2302
2022-09,11230740,이문1동,18264981.5844
2022-09,11230750,이문2동,10198689.0777
2022-10,11230536,용신동,29511936.7723
2022-10,11230545,제기동,24498512.011
2022-10,11230560,전농1동,21443294.5455
2022-10,11230570,전농2동,12359165.0942
2022-10,11230600,답십리1동,17199816.2548
2022-10,11230610,답십리2동,16582461.6086
2022-10,11230650,장안1동,25424498.2161
2022-10,11230660,장안2동,20288683.7703
2022-10,11230705,청량리동,15160990.3869
2022-10,11230710,회기동,16194626.0855
2022-10,11230720,휘경1동,13181925.841
2022-10,11230730,휘경2동,14887735.3752
2022-10,11230740,이문1동,19317757.5943
2022-10,11230750,이문2동,10468115.8716
2022-11,11230536,용신동,29189780.9348
2022-11,11230545,제기동,23770401.3852
2022-11,11230560,전농1동,21021209.7296
2022-11,11230570,전농2동,12008947.6779
2022-11,11230600,답십리1동,16683932.1939
2022-11,11230610,답십리2동,16104114.6442
2022-11,11230650,장안1동,24820584.058
2022-11,11230660,장안2동,19864250.8346
2022-11,11230705,청량리동,14763917.6782
2022-11,11230710,회기동,16249441.7835
2022-11,11230720,휘경1동,12520319.821
2022-11,11230730,휘경2동,14685537.1746
2022-11,11230740,이문1동,19416424.0825
2022-11,11230750,이문2동,10167306.2097
2022-12,11230536,용신동,30065221.6666
2022-12,11230545,제기동,24285516.8635
2022-12,11230560,전농1동,23132672.6123
2022-12,11230570,전농2동,12162755.048799999
2022-12,11230600,답십리1동,16660139.82
2022-12,11230610,답십리2동,16789564.0061
2022-12,11230650,장안1동,25864165.1083
2022-12,11230660,장안2동,20734347.8637
2022-12,11230705,청량리동,15324512.1568
2022-12,11230710,회기동,16668972.5811
2022-12,11230720,휘경1동,13180985.4857
2022-12,11230730,휘경2동,15148952.7741
2022-12,11230740,이문1동,19341750.1399
2022-12,11230750,이문2동,10667158.7382
2023-01,11230536,용신동,29773717.766
2023-01,11230545,제기동,23177629.6717
2023-01,11230560,전농1동,22415356.306
2023-01,11230570,전농2동,11576275.7963
2023-01,11230600,답십리1동,16592123.9689
2023-01,11230610,답십리2동,17104036.5641
2023-01,11230650,장안1동,25811827.677
2023-01,11230660,장안2동,20863801.634
2023-01,11230705,청량리동,15044193.3679
2023-01,11230710,회기동,13809104.3748
2023-01,11230720,휘경1동,12304835.4619
2023-01,11230730,휘경2동,14171999.7975
2023-01,11230740,이문1동,16338716.3114
2023-01,11230750,이문2동,10682709.7657
2023-02,11230536,용신동,28068775.2091
2023-02,11230545,제기동,21720623.2366
2023-02,11230560,전농1동,20662551.4916
2023-02,11230570,전농2동,10288118.5848
2023-02,11230600,답십리1동,15067590.0557
2023-02,11230610,답십리2동,15233698.422
2023-02,11230650,장안1동,23955068.9593
2023-02,11230660,장안2동,18688647.8179
2023-02,11230705,청량리동,13502737.388
2023-02,11230710,회기동,13095247.8921
2023-02,11230720,휘경1동,11417935.2184
2023-02,11230730,휘경2동,13117288.6178
2023-02,11230740,이문1동,15277156.4432
2023-02,11230750,이문2동,9486792.7323
2023-03,11230536,용신동,31420459.947
2023-03,11230545,제기동,25466000.0552
2023-03,11230560,전농1동,23568532.7359
2023-03,11230570,전농2동,12236973.5231
2023-03,11230600,답십리1동,16238610.7328
2023-03,11230610,답십리2동,16311017.8201
2023-03,11230650,장안1동,26351863.8837
2023-03,11230660,장안2동,20543359.0213
2023-03,11230705,청량리동,15086355.4587
2023-03,11230710,회기동,17476091.7084
2023-03,11230720,휘경1동,13155980.6187
2023-03,11230730,휘경2동,15648577.3266
2023-03,11230740,이문1동,20760893.2581
2023-03,11230750,이문2동,10408329.8676
2023-04,11230536,용신동,30236948.3028
2023-04,11230545,제기동,24047745.7613
2023-04,11230560,전농1동,22298972.4546
2023-04,11230570,전농2동,11961839.4156
2023-04,11230600,답십리1동,15556374.8249
2023-04,11230610,답십리2동,15437041.4992
2023-04,11230650,장안1동,25350974.5524
2023-04,11230660,장안2동,19829399.4585
2023-04,11230705,청량리동,14658145.1977
2023-04,11230710,회기동,16718722.8429
2023-04,11230720,휘경1동,12721248.0838
2023-04,11230730,휘경2동,15032417.5316
2023-04,11230740,이문1동,20057547.763
2023-04,11230750,이문2동,9994841.5912
2023-05,11230536,용신동,31308646.4893
2023-05,11230545,제기동,24698137.9391
2023-05,11230560,전농1동,22777784.3383
2023-05,11230570,전농2동,12184909.6724
2023-05,11230600,답십리1동,16130308.5343
2023-05,11230610,답십리2동,15895594.1441
2023-05,11230650,장안1동,25915673.6412
2023-05,11230660,장안2동,20308206.7093
2023-05,11230705,청량리동,15209246.0182
2023-05,11230710,회기동,16943292.7209
2023-05,11230720,휘경1동,13072722.2759
2023-05,11230730,휘경2동,15249212.4509
2023-05,11230740,이문1동,20616678.3088
2023-05,11230750,이문2동,10477616.8157
2023-06,11230536,용신동,30182896.3635
2023-06,11230545,제기동,23493919.3237
2023-06,11230560,전농1동,21887608.8595
2023-06,11230570,전농2동,11805085.3567
2023-06,11230600,답십리1동,15921316.0084
2023-06,11230610,답십리2동,15246091.9326
2023-06,11230650,장안1동,25247361.1433
2023-06,11230660,장안2동,19951497.0025
2023-06,11230705,청량리동,14582263.6903
2023-06,11230710,회기동,15701396.1075
2023-06,11230720,휘경1동,12509280.6764
2023-06,11230730,휘경2동,14634648.5329
2023-06,11230740,이문1동,19220932.39
2023-06,11230750,이문2동,10007195.584
2023-07,11230536,용신동,31078506.4963
2023-07,11230545,제기동,22678891.2544
2023-07,11230560,전농1동,22504715.6417
2023-07,11230570,전농2동,11487066.316
2023-07,11230600,답십리1동,16767710.093
2023-07,11230610,답십리2동,15587313.5324
2023-07,11230650,장안1동,26288624.9787
2023-07,11230660,장안2동,20707622.821
2023-07,11230705,청량리동,14934577.3093
2023-07,11230710,회기동,13470655.31
2023-07,11230720,휘경1동,12181352.6347
2023-07,11230730,휘경2동,13959934.3918
2023-07,11230740,이문1동,16293103.0349
2023-07,11230750,이문2동,10293937.9711
2023-08,11230536,용신동,30639855.5866
2023-08,11230545,제기동,22196463.1047
2023-08,11230560,전농1동,22712736.1036
2023-08,11230570,전농2동,11273286.9499
2023-08,11230600,답십리1동,16312471.0746
2023-08,11230610,답십리2동,15387743.0195
2023-08,11230650,장안1동,25851875.5612
2023-08,11230660,장안2동,20669675.2298
2023-08,11230705,청량리동,14930216.7747
2023-08,11230710,회기동,13268765.1685
2023-08,11230720,휘경1동,12015712.6561
2023-08,11230730,휘경2동,13957230.8195
2023-08,11230740,이문1동,16081506.6009
2023-08,11230750,이문2동,10081520.6184
2023-09,11230536,용신동,30193249.9046
2023-09,11230545,제기동,23620068.6999
2023-09,11230560,전농1동,22963693.0479
2023-09,11230570,전농2동,11620863.9695
2023-09,11230600,답십리1동,15308295.5899
2023-09,11230610,답십리2동,14947481.3357
2023-09,11230650,장안1동,24863771.5325
2023-09,11230660,장안2동,20378451.2655
2023-09,11230705,청량리동,14914775.7083
2023-09,11230710,회기동,15160235.9244
2023-09,11230720,휘경1동,12297868.4474
2023-09,11230730,휘경2동,14195979.5815
2023-09,11230740,이문1동,18832042.9382
2023-09,11230750,이문2동,9775036.807
2023-10,11230536,용신동,31166590.2506
2023-10,11230545,제기동,23955517.4583
2023-10,11230560,전농1동,23755579.048
2023-10,11230570,전농2동,12011353.6311
2023-10,11230600,답십리1동,16003214.3261
2023-10,11230610,답십리2동,15205716.315
2023-10,11230650,장안1동,25574513.0274
2023-10,11230660,장안2동,21121893.9568
2023-10,11230705,청량리동,15277542.6648
2023-10,11230710,회기동,15506297.1132
2023-10,11230720,휘경1동,12621578.3856
2023-10,11230730,휘경2동,14565578.2841
2023-10,11230740,이문1동,19607739.3364
2023-10,11230750,이문2동,9938880.4007
2023-11,11230536,용신동,30888784.1285
2023-11,11230545,제기동,23334700.1346
2023-11,11230560,전농1동,23116722.3213
2023-11,11230570,전농2동,11753145.7717
2023-11,11230600,답십리1동,16113524.5867
2023-11,11230610,답십리2동,14879512.1266
2023-11,11230650,장안1동,24992208.5647
2023-11,11230660,장안2동,20864488.4652
2023-11,11230705,청량리동,15229365.9548
2023-11,11230710,회기동,15776652.1451
2023-11,11230720,휘경1동,12591534.7105
2023-11,11230730,휘경2동,14340531.7928
2023-11,11230740,이문1동,19775055.5635
2023-11,11230750,이문2동,9806886.0467
2023-12,11230536,용신동,31907955.4104
2023-12,11230545,제기동,23804361.4243
2023-12,11230560,전농1동,25085004.7672
2023-12,11230570,전농2동,11973421.7437
2023-12,11230600,답십리1동,16826106.9024
2023-12,11230610,답십리2동,15853135.6
2023-12,11230650,장안1동,26260913.8998
2023-12,11230660,장안2동,22009394.632
2023-12,11230705,청량리동,16003967.6869
2023-12,11230710,회기동,15600896.0015
2023-12,11230720,휘경1동,12967294.3019
2023-12,11230730,휘경2동,14764969.432
2023-12,11230740,이문1동,19494060.0345
2023-12,11230750,이문2동,9949226.1903
